archivo,line_count,keyword_count,unique_keywords,nested_structures,complex_constructs,score
repo1/dsmfrcom.f90,40,8,3,0,0,54
repo1/dsscreen.f90,623,302,16,57,10,1158
repo1/dsslam.f90,417,99,13,33,3,650
repo1/ec_objt.f90,190,58,15,13,5,332
repo1/eco.f90,13,11,3,0,0,30
repo1/econintr.f90,811,147,19,68,3,1209
repo1/el_decs.f90,5,3,3,0,0,14
repo1/el_objt.f90,1922,447,20,117,39,2877
repo1/elreport.for,80,19,11,5,0,136
repo1/elrptcom.f90,20,18,4,0,1,49
repo1/emis_data.f90,5,3,3,0,0,14
repo1/en_objt.f90,1583,317,22,112,19,2337
repo1/end_routine.f90,52,26,11,3,0,109
repo1/endpoint.f90,10,7,5,0,0,27
repo1/enrg_helper.f90,207,112,11,11,0,374
repo1/enrg_prod_costs.f90,10,8,3,0,0,24
repo1/enrg_prod_costsi4.f90,7,3,3,0,1,19
repo1/enrg_prod_costsr8.f90,14,9,4,0,1,34
repo1/enrglimit.f90,4836,844,24,406,25,7021
repo1/envircom.f90,37,3,3,0,0,46
repo1/error_central.f90,13,8,6,0,0,33
repo1/errormsg.f90,305,170,17,16,6,575
repo1/escalation_variables.f90,13,2,2,0,0,19
repo1/esrn_decs.f90,41,15,6,3,0,77
repo1/esrn_obj.f90,1233,352,23,156,28,2183
repo1/exp_rev_cash.f90,17,4,4,0,1,32
repo1/expansion.f90,6,3,3,0,0,15
repo1/facalg.f90,5170,2797,26,980,132,11355
repo1/fainpt.f90,10,3,3,0,0,19
repo1/faintcom.f90,23,25,6,0,0,60
repo1/fc_objt.f90,313,97,16,25,9,544
repo1/fe_objt.f90,552,200,18,85,13,1082
repo1/fi_objt.f90,207,70,15,16,6,373
repo1/filemod.f90,179,107,12,14,0,352
repo1/filename_tracker.f90,561,315,10,3,0,905
repo1/fin_ratebase.f90,7,6,3,0,0,19
repo1/fin_results.f90,18,5,4,0,0,31
repo1/finanbse.for,1434,285,19,66,8,1979
repo1/financial_run_switches.f90,4,4,4,0,0,16
repo1/findovls.f90,1707,490,17,200,6,2849
repo1/finnucfl.f90,2103,399,20,173,25,3136
repo1/finnucfl_decs.f90,36,24,5,0,0,70
repo1/flusher.f90,8,7,5,0,0,25
repo1/fn_objt.f90,343,101,16,28,6,578
repo1/forecast.f90,2636,599,23,197,30,3962
repo1/forecast_decs.f90,23,19,6,0,0,54
repo1/foshydi2com.f90,13,10,4,0,0,31
repo1/fp_objt.f90,440,110,19,33,12,723
repo1/ft_interfaces.f90,50,34,4,0,0,92
repo1/fuel_types.f90,72,12,7,0,0,98
repo1/fuelcat.f90,60,12,7,0,0,86
repo1/fuelused.for,1946,458,19,197,19,3090
repo1/fuelused_decs.f90,88,37,10,5,0,160
repo1/fyregycom.f90,6,4,3,0,0,16
